videopath,rule
"examples/Two_knives_are_thrown_in_a_criss-cross_pattern,_nearly_colliding_in_mid-air_before_striking_a_stack_of_wooden_blocks.mp4",The knife slides across the surface of the blocks and table.
"examples/A_large,_heavy_pot_is_pushed_on_a_slightly_inclined_kitchen_counter;_it_nearly_slides_off_but_remains_in_place.mp4",The pot's shadow is visible (if light source is present).
"examples/A_person_uses_a_leaf_blower_to_clear_leaves_from_a_paved_driveway,_the_leaves_propelled_into_a_nearby_flower_bed.mp4",Leaves move away from the leaf blower.
"examples/Nunchucks_are_used_to_break_a_single_brick_from_a_wall,_creating_visible_cracks_in_the_surrounding_bricks.mp4","The sword penetrates the brick wall, causing visible displacement of bricks and debris."
"examples/Beer_is_poured_from_a_keg_into_a_plastic_cup,_the_liquid_splashing_slightly_on_the_rim.mp4",The beer forms a foamy head in the cup.
"examples/A_player_lunges_to_reach_a_low_shot,_reaching_the_shuttlecock_with_their_racquet.mp4",The tennis ball changes shape and breaks into smaller pieces upon impact with the racket.
"examples/A_carpenter_pulls_apart_two_glued_pieces_of_wood_using_a_chisel,_resulting_in_two_separate_boards.mp4",The chisel makes contact with the wooden disc.
"examples/A_potter_wedges_clay,_forcefully_pushing_and_folding_the_clay_to_remove_air_bubbles.mp4",The clay deforms under the potter's hands.
"examples/A_construction_worker_uses_a_sandblasting_machine_to_clean_the_brick_facade_of_a_building,_removing_layers_of_grime.mp4",The spray from the pressure washer impacts the brick wall.
"examples/A_bobsled_team_pushes_their_sled_off_the_starting_line,_accelerating_down_a_snowy_track.mp4","The athletes skating beside the bobsled move their feet, demonstrating visible changes of position."
